date,dele_category_count,modif_count,modif_category_count,modif_bakery_count,modif_bakery_category_count,modif_dairy_count,modif_dairy_category_count,modif_price10_count,modif_price10_category_count,modif_price20_count,modif_price20_category_count,modif_price20above_count,modif_price20above_category_count,week_sale_value,week_perish,week_shortage,week_dairy_sale_value,week_dairy_perish,week_dairy_shortage,week_bakery_sale_value,week_bakery_perish,week_bakery_shortage,week_price10_sale_value,week_price10_perish,week_price10_shortage,week_price20_sale_value,week_price20_perish,week_price20_shortage,week_price20above_sale_value,week_price20above_perish,week_price20above_shortage,pre_sale,pre_perish,pre_shortage,pre_sale_dairy,pre_sale_bakery,pre_sale_price10,pre_sale_price20,pre_sale_price20above,days,week_sale_value,week_order_value,week_order_category,week_order_item,week_order_bakery_value,week_order_bakery_category,week_order_bakery_item,week_order_dairy_value,week_order_dairy_category,week_order_dairy_item,week_order_price10_value,week_order_price10_category,week_order_price10_item,week_order_price20_value,week_order_price20_category,week_order_price20_item,week_order_price20above_value,week_order_price20above_category,week_order_price20above_item,week_AI_Perish,week_AI_Shortage,week_manager_Perish,week_manager_Shortage,week_AI_bakery_Perish,week_AI_bakery_Shortage,week_manager_bakery_Perish,week_manager_bakery_Shortage,week_AI_dairy_Perish,week_AI_dairy_Shortage,week_manager_dairy_Perish,week_manager_dairy_Shortage,week_AI_price10_Perish,week_AI_price10_Shortage,week_manager_price10_Perish,week_manager_price10_Shortage,week_AI_price20_Perish,week_AI_price20_Shortage,week_manager_price20_Perish,week_manager_price20_Shortage,week_AI_price20above_Perish,week_AI_price20above_Shortage,week_manager_price20above_Perish,week_manager_price20above_Shortage
2018-04-10,194,37,314,21,173,16,141,24,222,1,8,12,84,958967.5,201.21,311170.5599614009,640504.0,0.0,185460.58916408668,318463.5,201.21,125709.9707973141,324939.5,165.69000000000003,109937.95315025529,226516.0,35.52,61610.60681114551,407512.0,0.0,139622.0,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,0,95,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2018-04-16,377,54,582,36,425,18,157,40,479,1,8,13,95,1130462.5,160.07,423825.37579519005,730134.0,31.9,253848.13891437228,400328.5,128.17000000000002,169977.23688081792,430935.5,124.33000000000003,182628.39681232086,260178.0,29.14,55537.25404007757,439349.0,6.6,185659.72494279177,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,6,113,10528.949999999999,2703,493,6526.430000000001,2102,304,4002.5200000000013,601,182,7387.980000000002,2467,367,2319.2000000000007,188,77,821.77,48,49,1.64,136113.3511653465,58.5,132958.3511653465,1.64,44077.35116534652,58.5,42784.35116534652,0.0,92036.0,0.0,90174.0,1.64,38745.351165346525,58.5,37318.351165346525,0.0,81808.0,0.0,79840.0,0,15560.0,0.0,15800.0
2018-04-23,297,49,683,33,563,16,120,32,563,3,26,14,94,1110646.0,299.45,420141.8174868072,708293.5,29.0,284748.9695598519,402352.5,270.45,135392.84792695526,407139.0,232.05000000000004,140593.1905050932,251394.0,67.4,41708.4641445511,452113.0,0.0,237840.16283716285,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,13,111,9915.920000000006,2657,484,6724.100000000004,2205,295,3191.820000000001,452,182,7051.650000000003,2430,358,2204.5,188,77,659.77,39,49,0.0,32024.0,0.0,31212.5,0.0,16484.0,0.0,16112.5,0.0,15540.0,0.0,15100.0,0.0,20492.0,0.0,20324.5,0.0,11532.0,0.0,10888.0,0,0.0,0.0,0.0
2018-04-30,146,33,281,20,158,13,123,21,170,2,18,10,93,1085786.0,323.0599999999999,529331.6624959754,672471.5,39.8,332714.015901575,413314.5,283.26,196617.64659440037,410432.0,264.06,177654.80712014914,254022.0,59.0,123678.8553758262,421332.0,0.0,227998.0,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,20,108,11850.339999999995,3084,476,7571.520000000005,2478,287,4278.8200000000015,606,182,8327.710000000003,2819,350,2586.86,210,77,935.77,55,49,0.0,144943.92299465238,108.5,140801.92299465238,0.0,37910.60481283423,0.0,36098.60481283423,0.0,107033.31818181818,108.5,104703.31818181818,0.0,45062.10481283423,0.0,43300.10481283423,0.0,67881.81818181818,108.5,66141.81818181818,0,32000.0,0.0,31360.0
2018-05-07,347,52,635,27,401,25,234,35,525,1,9,16,101,1076934.0,161.4,399086.98217981827,682525.0,28.8,221607.77382091593,394409.0,132.6,177479.20835890234,422137.0,110.27999999999999,175384.6839342042,233004.0,22.32,67645.83157894737,421793.0,28.8,156056.46666666665,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,27,107,11074.439999999997,2923,476,6793.630000000002,2254,287,4280.81,669,182,7713.98,2656,350,2143.1000000000004,186,77,1217.36,81,49,0.0,234996.49643493764,34.2,231850.99643493764,0.0,45981.95098039216,0.0,45654.45098039216,0.0,189014.54545454547,34.2,186196.54545454547,0.0,43112.49643493762,34.2,42958.99643493762,0.0,58417.333333333336,0.0,56945.333333333336,0,133466.6666666667,0.0,131946.6666666667
2018-05-14,550,61,708,38,476,23,232,41,578,2,20,18,110,1160135.0,213.27000000000007,299703.04689467,759898.0,47.9,116407.11974619808,400237.0,165.37000000000006,183295.92714847194,402220.0,144.49000000000004,194800.21211953802,283734.0,64.38,45281.29631359353,474181.0,4.4,59621.53846153846,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,34,116,11065.090000000002,2893,476,6450.770000000004,2220,287,4614.320000000001,673,182,7384.440000000005,2622,350,2557.8799999999997,204,77,1122.77,67,49,0.0,121630.3717948718,0.0,120693.3717948718,0.0,19230.5,0.0,19408.5,0.0,102399.8717948718,0.0,101284.8717948718,0.0,24315.5,0.0,24478.5,0.0,39800.0,0.0,38660.0,0,57514.8717948718,0.0,57554.8717948718
2018-05-21,480,41,562,18,346,23,216,25,445,1,8,15,109,1122491.0,163.44000000000003,406197.9912420846,752991.0,18.9,246468.5137415149,369500.0,144.54000000000002,159729.47750056966,370778.0,123.66,137923.09514762842,257854.0,35.38,125506.54315327962,493859.0,4.4,142768.35294117648,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,41,112,10895.939999999995,2882,462,7538.360000000004,2381,283,3357.580000000001,501,172,7987.380000000006,2647,346,2216.3800000000006,196,77,692.1800000000001,39,39,66.22,148428.93250773996,22.72,148762.43250773996,66.22,37914.31596638656,22.72,37498.31596638656,0.0,110514.61654135337,0.0,111264.11654135337,66.22,50319.45882352942,22.72,50192.95882352942,0.0,55989.47368421053,0.0,54809.47368421053,0,42120.0,0.0,43760.0
2018-05-28,585,62,616,40,412,22,204,48,523,0,0,14,93,1083043.5,187.63000000000005,557723.0000800408,698511.5,0.0,339470.80160436773,384532.0,187.63000000000005,218252.19847567292,396274.5,137.47,206669.54068300116,242944.0,50.160000000000004,144652.65384351372,443825.0,0.0,206400.80555352574,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,48,108,11397.960000000001,3001,464,7717.989999999997,2492,287,3679.970000000001,509,170,8034.989999999994,2741,350,2582.2000000000003,216,77,780.77,44,37,0.0,103805.93194483535,0.0,104175.93194483535,0.0,46124.531944835355,0.0,45299.531944835355,0.0,57681.4,0.0,58876.4,0.0,51501.93194483535,0.0,51487.93194483535,0.0,35104.0,0.0,33848.0,0,17200.0,0.0,18840.0
2018-06-04,464,40,545,23,357,17,188,25,408,3,30,12,107,1177819.5,115.94999999999999,936989.3047843281,750759.5,14.5,627501.3152533742,427060.0,101.44999999999999,309487.9895309541,437834.5,94.49000000000001,296361.00229734153,233322.0,21.46,63797.30248698669,506663.0,0.0,576831.0,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,55,117,11018.97000000001,2901,465,7026.450000000004,2303,283,3992.520000000001,598,175,7702.620000000006,2650,346,2301.58,194,77,1014.7700000000001,57,42,0.0,29658.0,124.0,27724.0,0.0,5438.0,0.0,4544.0,0.0,24220.0,124.0,23180.0,0.0,2870.0,0.0,2120.0,0.0,26788.0,124.0,25604.0,0,0.0,0.0,0.0
2018-06-11,105,23,339,9,232,14,107,9,232,1,8,13,99,1130245.0,251.225,690867.6764006623,709183.0,24.884999999999998,466794.47359351075,421062.0,226.34,224073.2028071516,424690.0,205.45999999999998,222244.97472960476,240196.0,20.88,134376.58849681748,465359.0,24.884999999999998,334246.11317424,1090857.25,128.00433333333334,400787.0192601837,681963.5666666667,408893.68333333335,428572.55,174662.36666666667,487622.3333333333,62,113,10828.569999999998,2904,462,7284.650000000002,2364,280,3543.920000000002,540,175,7868.700000000001,2675,343,2395.1,197,77,564.77,32,42,0.0,55360.0,139.85999999999999,53237.5,0.0,5260.0,139.85999999999999,4657.5,0.0,50100.0,0.0,48580.0,0.0,5260.0,139.85999999999999,4657.5,0.0,50100.0,0.0,48580.0,0,0.0,0.0,0.0
