store_id,model_suggest_date
2135,4/12/2017
2425,4/12/2017
2615,4/12/2017
2652,4/12/2017
1964,18/12/2017
2000,18/12/2017
2089,18/12/2017
2181,18/12/2017
2217,18/12/2017
2272,18/12/2017
2292,18/12/2017
2304,18/12/2017
2316,18/12/2017
2322,18/12/2017
2373,18/12/2017
2414,18/12/2017
2428,18/12/2017
2459,18/12/2017
2506,18/12/2017
2634,18/12/2017
2748,18/12/2017
2836,18/12/2017
2674,19/12/2017
2759,19/12/2017
2771,28/12/2017
1503,5/1/2018
1514,5/1/2018
1560,5/1/2018
1588,5/1/2018
1589,5/1/2018
1624,5/1/2018
1828,5/1/2018
1912,5/1/2018
1914,5/1/2018
2052,5/1/2018
2537,5/1/2018
2597,5/1/2018
2877,5/1/2018
2897,5/1/2018
1680,10/1/2018
1695,10/1/2018
6026,10/1/2018
1977,27/1/2018
2061,27/1/2018
2100,27/1/2018
2221,27/1/2018
2323,27/1/2018
2326,27/1/2018
2406,27/1/2018
2515,27/1/2018
2522,27/1/2018
2840,27/1/2018
2920,27/1/2018
6033,27/1/2018
1037,3/2/2018
1501,3/2/2018
1507,3/2/2018
1508,3/2/2018
1518,3/2/2018
1519,3/2/2018
1524,3/2/2018
1529,3/2/2018
1533,3/2/2018
1534,3/2/2018
1535,3/2/2018
1536,3/2/2018
1544,3/2/2018
1545,3/2/2018
1546,3/2/2018
1550,3/2/2018
1551,3/2/2018
1555,3/2/2018
1559,3/2/2018
1563,3/2/2018
1565,3/2/2018
1566,3/2/2018
1574,3/2/2018
1579,3/2/2018
1587,3/2/2018
1592,3/2/2018
1593,3/2/2018
1595,3/2/2018
1596,3/2/2018
1600,3/2/2018
1601,3/2/2018
1602,3/2/2018
1605,3/2/2018
1607,3/2/2018
1609,3/2/2018
1612,3/2/2018
1613,3/2/2018
1616,3/2/2018
1621,3/2/2018
1622,3/2/2018
1623,3/2/2018
1628,3/2/2018
1629,3/2/2018
1630,3/2/2018
1631,3/2/2018
1632,3/2/2018
1633,3/2/2018
