period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,sale_bakery_improvement,sale_dairy_improvement,Manager_outperform_bakery,Manager_outperform_dairy,outperform_area_bakery,outperform_area_dairy
0,0.8571428571428572,0.0555859729958956,0.0143466579228253,0.0525966760631065,5,1,0.4232936756418284,0.923809523809524,0.7362637362637363,0.0633670603072689,0.0372741731389348,-0.0816084099868593,0.059468571765541,0.0702062369943623,-0.0933461233582367
1,0.8511904761904762,0.0329942322884733,0.1261120923045545,0.0223308134315492,4,0,0.4550958627648839,0.923809523809524,0.7197802197802198,-0.0400352556753038,0.0520658695991186,-0.0519562037414592,0.2006417129842254,-0.0824063363945381,-0.0765998729611869
2,0.8551587301587302,0.0680504852195767,0.061539947196769,-0.0307451819069479,3,0,0.4833669354838709,0.9365079365079364,0.7142857142857143,-0.0780855881678514,0.1201666018632331,-0.0272682756208464,0.1123910480124359,-0.1163129698975368,-0.1285656164568674
3,0.8035714285714286,0.0486617596782523,-0.0686560383751183,-0.0150239741831308,5,0,0.2729559748427673,0.8571428571428571,0.7032967032967034,-0.0902315982572804,0.0977264217343625,-0.2824916788017474,0.0126357689459392,-0.1454640345358999,-0.0660062666037115
4,0.8602794411177646,0.6506132018554885,0.1761379499950859,0.2032430341356706,6,0,0.309958970533383,0.9523809523809524,0.6927374301675978,-0.0315437972941986,0.9404665739385694,0.0504342649581273,0.2049153653111808,-0.1093421214099318,0.3065808585540045
5,0.8772635814889336,0.0182202838825534,0.0377280412993182,-0.0234528643667779,5,0,0.6317829457364341,0.9015873015873016,0.8285714285714286,-0.1574108576014675,0.0845617684969797,0.053239533854108,0.0322003330592389,-0.1857997254375923,-0.0085488161678647
6,0.9134808853118713,0.2178531456860544,0.041905272122749,0.1543406689892693,0,0,0.7153846153846154,0.946031746031746,0.8514285714285714,-0.0938861499656042,0.3438394877881234,0.0703098311049348,0.0331200372409634,-0.0731394436577177,0.1256240779862097
7,0.9961089494163425,0.3926225067073715,0.0650030528950208,0.3926225067073715,4,0,0.9799426934097422,0.9969604863221884,0.99438202247191,0.0668066383856913,0.5226249136303003,0.0310307304785894,0.075921175611764,0.0628160643077922,0.2871392105110719
8,0.7238095238095238,0.09720687813198,-0.0216913748601653,0.3800297525447568,3,0,0.4237187127532777,0.7355623100303952,0.6931216931216931,-0.2349088511809218,0.2342248956072632,0.0265015417288527,-0.0353948918273805,-0.1170995493655195,0.0499998834946732
9,0.6552380952380953,-0.5540194523198985,-0.0616355985085594,0.0517486544833412,6,3,-0.4918998527245949,0.668693009118541,0.6190476190476191,-0.6417464457693189,-0.520007655189059,-0.2818278564197476,0.0137499671299156,-0.1954490403820094,-0.2679707543657323
10,0.5555555555555556,-0.1985229910209916,-0.1703443069908276,0.1080845523235818,7,0,0.0932642487046632,0.5394321766561514,0.5661375661375662,-0.3664727126805779,-0.1326778871336356,-0.0706642297374006,-0.2037425198766682,-0.2087739290802983,-0.0555853392941915
11,0.7191235059760956,-0.2139259666126164,0.0229012711541737,0.0559931210798656,5,0,0.5374251497005988,0.7189542483660131,0.708994708994709,-0.305635175418482,-0.1828373616929445,0.0039713188203866,0.0302796115417689,-0.2040722747062129,-0.0847128877549385
12,0.8487903225806452,-0.1589688114907177,-0.030614681104324,0.0222271623822439,6,0,0.7785522788203754,0.8571428571428571,0.8297872340425532,-0.2336190094015134,-0.1364727435812884,-0.06378780628661,-0.0171099787235791,-0.1971390047735128,-0.0244511454871781
13,0.8765432098765433,-0.1119173595877679,0.05535315297147,0.0242177223148296,6,0,0.7064568638090071,0.8970099667774086,0.8370786516853933,-0.2578035427654208,-0.0574023873003697,0.0186033309196234,0.068626417150296,-0.2514728294019856,0.0040103560539309
14,0.7484536082474227,0.0221757291371082,0.1484417543988576,0.0657283311443601,1,0,0.5702398433675967,0.7375415282392026,0.7570621468926554,-0.1015177138271039,0.0646380818860412,0.0245866730470152,0.196387635907254,-0.1171514262248353,0.0962128266216683
15,0.8020408163265307,-0.0602980891761246,0.0600684218566339,-0.0175072175401055,6,0,0.7113341204250295,0.7740863787375415,0.8406593406593407,-0.2235152487961477,0.001445695286057,0.0582578747533285,0.0607123617206027,-0.2358798493436608,-0.0079160167163229
