period,DelegationDecision,sale_improvement,Manager_outperform,outperform_area,BadWeather,Holiday,dele_demand,dele_item_bakery,dele_item_dairy,sale_bakery_improvement,sale_dairy_improvement,Manager_outperform_bakery,Manager_outperform_dairy,outperform_area_bakery,outperform_area_dairy
0,0.8127659574468086,-0.1267200160453227,0.1912029682053138,-0.1394703028907643,5,1,0.4542992552471225,0.8896797153024911,0.6868131868131868,-0.2992751536098311,-0.0623142453160572,0.0230884884758565,0.2493760610281211,-0.2924359769227376,-0.1929345418132287
1,0.851931330472103,-0.073250738684276,0.2865847646512948,-0.0906962845486585,4,0,0.5188679245283019,0.8857142857142857,0.8021978021978022,-0.2589753744239632,-0.0036956184489118,0.0129500118041837,0.3588722496799041,-0.3013464551431976,-0.1323613610092174
2,0.8333333333333334,-0.0260669798407515,0.2811626937308181,-0.1313011874879455,3,0,0.4148936170212766,0.8678571428571429,0.7802197802197802,-0.2567924347158219,0.0634884790585597,0.1412917980402322,0.3264244626107165,-0.2950198164455073,-0.1852437392615409
3,0.8419913419913421,-0.1051777739287388,0.2179975131731336,-0.1802330845708415,5,0,0.4783895796329189,0.9035714285714286,0.7472527472527473,-0.2358510944700461,-0.0605475822656015,0.0184399772318686,0.2931594865799704,-0.2910835307486656,-0.2242802706036755
4,0.8671023965141612,0.3018030138797279,0.0716613807707604,-0.1603589020824207,6,0,0.4479048697621744,0.9,0.8156424581005587,-0.2241503456221199,0.5222456175249773,0.0209907007552629,0.0836198724489646,-0.3019486697378531,-0.1116400978595875
5,0.832967032967033,-0.1176339276182326,0.2099996819568849,-0.1676413974090062,5,0,0.474002849002849,0.8857142857142857,0.7485714285714286,-0.286734350998464,-0.0549890841651052,0.0327355765390197,0.271952650573466,-0.3151232188345887,-0.1480996688299496
6,0.9450549450549451,-0.0525315196248616,0.0972919363543767,-0.1275650783081057,0,0,0.8158526821457166,0.95,0.9371428571428572,-0.3691796274961598,0.0772799203807259,-0.0039950537429848,0.1247555477607782,-0.3484329211882733,-0.1409354894211877
7,0.9978021978021979,-0.0696495994905639,0.0822604434918277,-0.0696495994905639,5,0,0.9970359392367544,0.9964285714285714,1.0,-0.3943812403993856,0.064208658762067,0.0005469137025661,0.103792888004395,-0.3723561707861738,-0.1592867379239504
8,0.9372294372294373,-0.5093393828787592,0.0491792312774318,-0.2607610642382794,3,0,0.8630289532293987,0.9523809523809524,0.9107142857142856,-0.6303763440860215,-0.4619997549907157,-0.0024380952380952,0.0656002322194077,-0.5125670422706192,-0.6462247671033057
9,0.9458874458874459,-0.7211002242152776,-0.0571953759262066,-0.1246981439554409,6,3,0.913377192982456,0.9829931972789115,0.8809523809523809,-0.7962869623655914,-0.6912339548666935,0.0251723122238586,-0.082358989112354,-0.3499895569782818,-0.4391970540433668
10,0.696969696969697,-0.5534027593400661,0.1754363463756308,-0.2672338711587627,7,0,0.3799068529607451,0.7278911564625851,0.6428571428571429,-0.6711189516129032,-0.50681893853899,0.1977102334037673,0.1685584551335582,-0.5134201680126237,-0.4297263906995459
11,0.5482456140350878,-0.3858455152015402,0.3261012058996314,-0.1270346490728005,5,0,0.3416666666666667,0.5782312925170068,0.4938271604938271,-0.5126488095238095,-0.3380270983765622,0.4344581614239542,0.2891621791829687,-0.4110859088115405,-0.2399026244385562
12,0.8043956043956044,-0.2588993414733864,0.1518795497715441,-0.1319686160761312,6,0,0.7405900305188199,0.8401360544217688,0.7391304347826086,-0.3101958525345623,-0.2482968194567423,-0.0045789839944328,0.2183617683405851,-0.3038651391711271,-0.1868840761024417
13,0.9032967032967033,-0.2670221092101384,0.0647824566174138,-0.2385674834451118,1,0,0.8649868371568259,0.9149659863945578,0.8819875776397516,-0.334617415514593,-0.2487283160152096,0.0045226421631678,0.0894956594599983,-0.3502511279123244,-0.2171535712795824
14,0.8199566160520608,-0.2316493810122765,0.1373427386967445,-0.1992329247603838,6,0,0.5918979744936234,0.8673469387755102,0.7365269461077845,-0.4077620967741936,-0.1637343856038034,0.0516781101690396,0.1654345879550337,-0.4201266973217067,-0.1730960976061833
